statename,death,rate
Alabama,852,17.6
Alaska,51,6.9
Arizona,849,12.8
Arkansas,483,16.3
California,3000,7.8
Colorado,481,9.1
Connecticut,276,7.7
Delaware,99,10.7
District of Columbia,20,3.1
Florida,2407,12.3
Georgia,1179,11.8
Hawaii,102,7.3
Idaho,214,13.3
Illinois,991,7.7
Indiana,783,11.9
Iowa,317,10.3
Kansas,350,12.1
Kentucky,638,14.5
Louisiana,703,15.2
Maine,145,10.9
Maryland,465,7.8
Massachusetts,326,4.9
Michigan,947,9.6
Minnesota,387,7.1
Mississippi,613,20.5
Missouri,757,12.5
Montana,229,22.6
Nebraska,211,11.3
Nevada,262,9.4
New Hampshire,135,10.2
New Jersey,542,6.1
New Mexico,310,14.9
New York,1199,6.1
North Carolina,1289,13.1
North Dakota,148,20.5
Ohio,989,8.5
Oklahoma,678,17.6
Oregon,313,8
Pennsylvania,1208,9.5
Rhode Island,65,6.2
South Carolina,767,16.1
South Dakota,135,16
Tennessee,995,15.3
Texas,3382,12.8
Utah,220,7.6
Vermont,69,11
Virginia,740,9
Washington,436,6.3
West Virginia,332,17.9
Wisconsin,543,9.5
Wyoming,87,14.9
,,
