statename,2008,2009,2010,2011,2012,2013
Alabama,32,33,36,29,30,31
Alaska,33,31,31,29,25,30
Arizona,28,27,30,26,28,26
Arkansas,28,29,35,28,26,25
California,30,31,34,27,28,29
Colorado,32,34,32,36,28,30
Connecticut,31,44,43,42,36,41
Delaware,36,38,42,41,30,39
District of Columbia,25,35,35,29,27,31
Florida,30,30,31,29,29,28
Georgia,27,26,28,22,25,25
Hawaii,39,48,42,45,41,33
Idaho,34,26,39,30,29,27
Illinois,34,35,40,30,34,32
Indiana,25,30,29,28,29,25
Iowa,22,26,26,23,25,32
Kansas,36,40,45,28,24,29
Kentucky,23,25,28,24,23,26
Louisiana,37,36,39,32,33,33
Maine,27,29,30,17,30,29
Maryland,25,30,38,33,32,30
Massachusetts,33,32,45,34,35,36
Michigan,29,28,30,29,28,27
Minnesota,29,26,33,30,29,25
Mississippi,32,33,40,25,31,34
Missouri,33,34,38,33,34,33
Montana,39,36,44,39,44,40
Nebraska,25,30,31,25,35,28
Nevada,33,28,33,28,32,30
New Hampshire,33,27,42,30,30,34
New Jersey,26,25,34,31,28,27
New Mexico,29,32,35,30,27,30
New York,28,28,36,28,29,30
North Carolina,30,28,34,29,31,29
North Dakota,45,38,48,42,42,42
Ohio,29,32,38,30,34,27
Oklahoma,32,32,37,32,29,25
Oregon,33,30,29,29,26,33
Pennsylvania,34,32,38,31,31,30
Rhode Island,36,40,45,39,38,38
South Carolina,43,42,51,37,41,44
South Dakota,29,40,33,29,33,31
Tennessee,29,31,33,28,29,28
Texas,38,40,48,40,38,40
Utah,18,16,21,22,16,17
Vermont,16,32,35,33,30,27
Virginia,33,32,34,30,27,34
Washington,35,42,42,35,33,34
West Virginia,33,32,32,28,28,27
Wisconsin,34,38,42,34,33,33
Wyoming,41,35,38,28,32,29
