Year,PcarDriverMale,PcarDriverFemale,PcarPassengerMale,PcarPassengeFemale,LTdriverMale,LTdriverFemale,LTpassengerMale,LTpassengerFemale,PedestriansMale,PedestriansFemale,BicyclistsMale,BicyclistsFemale,MotorcyclistsMale,MotorcyclistsFemale,deathsMale,deathsFemale
1975,"15,706","3,642","6,069","5,095",542,4,88,24,"5,196","2,319",820,183,"2,863",243,"32,675","11,844"
1976,"16,013","4,078","6,206","5,330",667,6,102,34,"5,120","2,307",751,163,"2,950",282,"33,038","12,481"
1977,"16,499","4,442","6,242","5,542",760,7,104,44,"5,331","2,400",730,192,"3,676",328,"34,627","13,248"
1978,"17,974","4,782","6,373","5,659",799,15,100,49,"5,494","2,296",714,178,"4,059",389,"36,731","13,591"
1979,"18,273","4,836","6,430","5,388",817,10,140,41,"5,701","2,391",759,173,"4,295",417,"37,588","13,498"
1980,"18,110","4,877","6,439","5,438",709,9,99,49,"5,613","2,454",782,183,"4,524",430,"37,392","13,689"
1981,"17,592","4,910","5,972","5,077",680,10,94,46,"5,459","2,332",748,181,"4,348",389,"35,930","13,161"
1982,"15,129","4,534","5,298","4,609",591,9,77,41,"5,144","2,185",720,144,"3,933",334,"31,879","12,062"
1983,"14,620","4,716","5,022","4,699",611,4,81,35,"4,775","2,050",700,130,"3,800",299,"30,499","12,084"
1984,"14,934","5,366","5,094","4,605",706,14,85,43,"5,016","2,005",684,153,"4,076",349,"31,541","12,709"
1985,"14,768","5,288","5,009","4,704",620,12,77,33,"4,671","2,133",732,137,"4,074",341,"30,959","12,856"
1986,"15,935","5,564","5,667","4,931",579,10,67,32,"4,771","2,004",789,140,"4,002",305,"32,856","13,191"
1987,"16,133","6,022","5,782","5,093",551,8,51,42,"4,777","1,967",826,114,"3,526",306,"32,621","13,757"
1988,"16,744","6,140","5,815","5,293",606,8,65,25,"4,756","2,111",773,128,"3,255",235,"32,947","14,123"
1989,"16,284","6,269","5,562","5,408",539,7,57,38,"4,594","1,959",696,126,"2,790",240,"31,338","14,232"
1990,"15,901","6,049","5,587","5,061",429,7,47,19,"4,495","1,985",732,121,"2,888",240,"30,916","13,665"
1991,"14,824","5,727","5,231","4,904",403,4,25,16,"3,985","1,815",715,121,"2,491",211,"28,545","12,953"
1992,"14,021","5,550","4,995","4,779",358,11,27,14,"3,867","1,679",627,90,"2,119",171,"26,772","12,444"
1993,"14,298","5,737","5,014","4,869",373,10,28,12,"3,936","1,711",702,104,"2,144",202,"27,322","12,814"
1994,"14,612","6,034","5,041","5,022",381,7,40,25,"3,757","1,732",687,109,"2,013",202,"27,411","13,293"
1995,"15,164","6,293","5,203","5,137",389,11,30,13,"3,856","1,728",699,128,"1,949",189,"28,133","13,663"
1996,"15,066","6,563","5,379","5,260",380,4,33,7,"3,780","1,667",654,107,"1,888",189,"28,061","13,991"
1997,"15,023","6,683","5,231","5,294",419,8,34,19,"3,643","1,677",712,99,"1,869",187,"27,827","14,168"
1998,"14,975","6,651","5,007","5,047",427,14,38,22,"3,558","1,670",658,99,"2,027",200,"27,608","13,885"
1999,"15,238","6,658","5,044","4,979",457,13,43,23,"3,466","1,472",656,94,"2,197",221,"28,040","13,667"
2000,"15,323","6,495","5,381","4,831",443,14,25,30,"3,251","1,512",613,76,"2,563",266,"28,545","13,396"
2001,"15,396","6,465","5,275","4,705",403,11,48,13,"3,421","1,479",657,72,"2,840",283,"28,986","13,205"
2002,"15,907","6,629","5,361","4,737",397,12,40,20,"3,298","1,552",590,73,"2,883",304,"29,466","13,529"
2003,"15,551","6,647","5,209","4,682",420,14,34,21,"3,274","1,499",554,71,"3,283",358,"29,346","13,532"
2004,"15,390","6,562","5,103","4,638",433,7,43,24,"3,237","1,435",626,96,"3,485",417,"29,443","13,387"
2005,"15,564","6,386","4,936","4,489",460,19,39,15,"3,450","1,441",687,97,"4,023",437,"30,347","13,155"
2006,"15,199","6,390","4,707","4,223",455,11,36,19,"3,332","1,459",675,94,"4,286",413,"29,849","12,842"
2007,"14,648","5,892","4,498","4,038",464,8,27,12,"3,288","1,411",616,83,"4,605",445,"29,173","12,080"
2008,"13,022","5,239","3,910","3,314",382,10,33,13,"3,078","1,331",624,92,"4,662",449,"26,744","10,665"
2009,"11,928","4,905","3,410","3,215",272,8,20,8,"2,827","1,282",549,79,"3,869",417,"23,776","10,098"
2010,"11,103","4,923","3,257","3,022",302,9,24,11,"2,961","1,339",537,84,"3,903",421,"22,988","10,006"
2011,"10,880","4,677","3,017","2,791",365,8,23,11,"3,102","1,354",581,99,"3,995",408,"22,937","9,534"
2012,"11,234","4,681","3,029","2,904",371,5,25,14,"3,337","1,478",639,89,"4,272",421,"23,961","9,809"
2013,"10,957","4,617","2,912","2,811",359,4,27,11,"3,277","1,496",647,99,"4,015",387,"23,243","9,638"
2014,"10,971","4,504","2,776","2,794",373,6,23,6,"3,411","1,466",637,81,"3,930",364,"23,220","9,438"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Passenger vehicle drivers,,Passenger vehicle passengers,,Large truck drivers,,Large truck passengers,,Pedestrians,,Bicyclists,,Motorcyclists,,Total motor vehicle deaths*,
