state,AlcoholRate,SpeedingRate,UnrestraintRate,Total
Alabama,31,30,55,852
Alaska,30,43,43,51
Arizona,26,34,50,849
Arkansas,25,15,51,483
California,29,32,31,3000
Colorado,30,31,56,481
Connecticut,41,23,41,276
Delaware,39,37,45,99
District of Columbia,31,45,35,20
Florida,28,14,46,2407
Georgia,25,17,46,1179
Hawaii,33,43,55,102
Idaho,27,23,61,214
Illinois,32,42,43,991
Indiana,25,28,37,783
Iowa,32,16,43,317
Kansas,29,32,55,350
Kentucky,26,20,53,638
Louisiana,33,27,52,703
Maine,29,34,50,145
Maryland,30,32,38,465
Massachusetts,36,27,47,326
Michigan,27,27,30,947
Minnesota,25,22,31,387
Mississippi,34,18,58,613
Missouri,33,41,58,757
Montana,40,33,67,229
Nebraska,28,18,62,211
Nevada,30,33,46,262
New Hampshire,34,49,62,135
New Jersey,27,22,43,542
New Mexico,30,39,51,310
New York,30,30,31,1199
North Carolina,29,32,41,1289
North Dakota,42,40,58,148
Ohio,27,28,50,989
Oklahoma,25,26,52,678
Oregon,33,30,25,313
Pennsylvania,30,46,52,1208
Rhode Island,38,26,51,65
South Carolina,44,40,49,767
South Dakota,31,28,61,135
Tennessee,28,24,49,995
Texas,40,35,41,3382
Utah,17,34,41,220
Vermont,27,26,41,69
Virginia,34,18,55,740
Washington,34,42,31,436
West Virginia,27,39,46,332
Wisconsin,33,33,49,543
Wyoming,29,46,62,87
