statename,2008,2009,2010,2011,2012,2013
Alabama,20.7,18,18,18.6,17.9,17.6
Alaska,9,9.2,7.9,10,8.1,6.9
Arizona,14.4,12.2,11.9,12.7,12.6,12.8
Arkansas,21,20.2,19.3,18.7,18.7,16.3
California,9.3,8.3,7.3,7.4,7.5,7.8
Colorado,11.1,9.3,8.9,8.7,9.1,9.1
Connecticut,7.5,6.3,8.9,6.1,6.6,7.7
Delaware,13.9,13.1,11.2,10.9,12.4,10.7
District of Columbia,5.7,4.8,4,4.4,2.4,3.1
Florida,16.2,13.8,13,12.6,12.5,12.3
Georgia,15.4,13.1,12.8,12.5,12,11.8
Hawaii,8.3,8.4,8.3,7.3,9,7.3
Idaho,15.2,14.6,13.3,10.5,11.5,13.3
Illinois,8.1,7.1,7.2,7.1,7.4,7.7
Indiana,12.8,10.8,11.6,11.5,11.9,11.9
Iowa,13.7,12.4,12.8,11.8,11.9,10.3
Kansas,13.7,13.7,15.1,13.4,14,12.1
Kentucky,19.3,18.3,17.5,16.5,17,14.5
Louisiana,20.7,18.3,15.7,14.8,15.7,15.2
Maine,11.8,12.1,12.1,10.2,12.3,10.9
Maryland,10.5,9.6,8.5,8.3,8.6,7.8
Massachusetts,5.6,5.1,4.8,5.1,5.3,4.9
Michigan,9.8,8.7,9.5,9,9.5,9.6
Minnesota,8.7,8,7.7,6.9,7.3,7.1
Mississippi,26.6,23.7,21.6,21.2,19.5,20.5
Missouri,16.2,14.7,13.7,13,13.7,12.5
Montana,23.7,22.7,19.1,20.9,20.4,22.6
Nebraska,11.7,12.4,10.4,9.8,11.4,11.3
Nevada,12.5,9.2,9.5,9,9.4,9.4
New Hampshire,10.6,8.3,9.7,6.8,8.2,10.2
New Jersey,6.8,6.7,6.3,7.1,6.6,6.1
New Mexico,18.4,18,16.8,17,17.5,14.9
New York,6.3,5.9,6.2,6,6,6.1
North Carolina,15.5,14,13.8,12.7,13.2,13.1
North Dakota,16.2,21.6,15.6,21.6,24.3,20.5
Ohio,10.4,8.8,9.4,8.8,9.7,8.5
Oklahoma,20.6,20,17.8,18.4,18.6,17.6
Oregon,11,9.9,8.3,8.5,8.6,8
Pennsylvania,11.8,10,10.4,10.1,10.3,9.5
Rhode Island,6.2,7.9,6.3,6.3,6.1,6.2
South Carolina,20.5,19.6,17.5,17.7,18.3,16.1
South Dakota,14.8,16.1,17.2,13.5,16,16
Tennessee,16.7,15.7,16.2,14.8,15.7,15.3
Texas,13.9,12.4,11.9,11.7,13,12.8
Utah,10,8.8,8.5,8.5,7.6,7.6
Vermont,11.8,11.9,11.3,8.8,12.3,11
Virginia,10.6,9.6,9.2,9.4,9.5,9
Washington,8,7.4,6.8,6.7,6.4,6.3
West Virginia,20.9,19.6,17,18.2,18.3,17.9
Wisconsin,10.7,9.9,10.1,10.2,10.7,9.5
Wyoming,29.8,24.6,27.5,23.8,21.3,14.9
