,2013,2013,,
Country,Estimated number of road traffic deaths,Estimated road traffic death rate (per 100 000 population),,
Afghanistan,4734,15.5,,
Albania,478,15.1,,
Algeria,9337,23.8,,
Andorra,6,7.6,,
Angola,5769,26.9,,
Antigua and Barbuda,6,6.7,,
Argentina,5619,13.6,,
Armenia,546,18.3,,
Australia,1252,5.4,,
Austria,455,5.4,,
Azerbaijan,943,10,,
Bahamas,52,13.8,,
Bahrain,107,8,,
Bangladesh,21316,13.6,,
Barbados,19,6.7,,
Belarus,1282,13.7,,
Belgium,746,6.7,,
Belize,81,24.4,,
Benin,2855,27.7,,
Bhutan,114,15.1,,
Bolivia (Plurinational State of),2476,23.2,,
Bosnia and Herzegovina,676,17.7,,
Botswana,477,23.6,,
Brazil,46935,23.4,,
Bulgaria,601,8.3,,
Burkina Faso,5072,30,,
Cote d'Ivoire,4924,24.2,,
Cabo Verde,130,26.1,,
Cambodia,2635,17.4,,
Cameroon,6136,27.6,,
Canada,2114,6,,
Central African Republic,1495,32.4,,
Chad,3089,24.1,,
Chile,2179,12.4,,
China,261367,18.8,,
Colombia,8107,16.8,,
Congo,1174,26.4,,
Cook Islands,5,24.2,,
Costa Rica,676,13.9,,
Croatia,395,9.2,,
Cuba,840,7.5,,
Cyprus,59,5.2,,
Czech Republic,654,6.1,,
Democratic Republic of the Congo,22419,33.2,,
Denmark,196,3.5,,
Djibouti,216,24.7,,
Dominica,11,15.3,,
Dominican Republic,3052,29.3,,
Ecuador,3164,20.1,,
Egypt,10466,12.8,,
El Salvador,1339,21.1,,
Eritrea,1527,24.1,,
Estonia,90,7,,
Ethiopia,23837,25.3,,
Fiji,51,5.8,,
Finland,258,4.8,,
France,3268,5.1,,
Gabon,383,22.9,,
Gambia,544,29.4,,
Georgia,514,11.8,,
Germany,3540,4.3,,
Ghana,6789,26.2,,
Greece,1013,9.1,,
Guatemala,2939,19,,
Guinea,3211,27.3,,
Guinea-Bissau,468,27.5,,
Guyana,138,17.3,,
Honduras,1408,17.4,,
Hungary,765,7.7,,
Iceland,15,4.6,,
India,207551,16.6,,
Indonesia,38279,15.3,,
Iran (Islamic Republic of),24896,32.1,,
Iraq,6826,20.2,,
Ireland,188,4.1,,
Israel,277,3.6,,
Italy,3721,6.1,,
Jamaica,320,11.5,,
Japan,5971,4.7,,
Jordan,1913,26.3,,
Kazakhstan,3983,24.2,,
Kenya,12891,29.1,,
Kiribati,3,2.9,,
Kuwait,629,18.7,,
Kyrgyzstan,1220,22,,
Lao People's Democratic Republic,971,14.3,,
Latvia,205,10,,
Lebanon,1088,22.6,,
Lesotho,584,28.2,,
Liberia,1448,33.7,,
Libya,4554,73.4,,
Lithuania,320,10.6,,
Luxembourg,46,8.7,,
Madagascar,6506,28.4,,
Malawi,5732,35,,
Malaysia,7129,24,,
Maldives,12,3.5,,
Mali,3902,25.6,,
Malta,22,5.1,,
Marshall Islands,3,5.7,,
Mauritania,952,24.5,,
Mauritius,152,12.2,,
Mexico,15062,12.3,,
Micronesia (Federated States of),2,1.9,,
Monaco,0,0,,
Mongolia,597,21,,
Montenegro,74,11.9,,
Morocco,6870,20.8,,
Mozambique,8173,31.6,,
Myanmar,10809,20.3,,
Namibia,551,23.9,,
Nepal,4713,17,,
Netherlands,574,3.4,,
New Zealand,272,6,,
Nicaragua,931,15.3,,
Niger,4706,26.4,,
Nigeria,35641,20.5,,
Norway,192,3.8,,
Oman,924,25.4,,
Pakistan,25781,14.2,,
Palau,1,4.8,,
Panama,386,10,,
Papua New Guinea,1232,16.8,,
Paraguay,1408,20.7,,
Peru,4234,13.9,,
Philippines,10379,10.5,,
Poland,3931,10.3,,
Portugal,828,7.8,,
Qatar,330,15.2,,
Republic of Korea,5931,12,,
Republic of Moldova,437,12.5,,
Romania,1881,8.7,,
Russian Federation,27025,18.9,,
Rwanda,3782,32.1,,
Saint Lucia,33,18.1,,
Saint Vincent and the Grenadines,9,8.2,,
Samoa,30,15.8,,
San Marino,1,3.2,,
Sao Tome and Principe,60,31.1,,
Saudi Arabia,7898,27.4,,
Senegal,3844,27.2,,
Serbia,735,7.7,,
Seychelles,8,8.6,,
Sierra Leone,1661,27.3,,
Singapore,197,3.6,,
Slovakia,360,6.6,,
Slovenia,132,6.4,,
Solomon Islands,108,19.2,,
Somalia,2664,25.4,,
South Africa,13273,25.1,,
Spain,1730,3.7,,
Sri Lanka,3691,17.4,,
Sudan,9221,24.3,,
Suriname,103,19.1,,
Swaziland,303,24.2,,
Sweden,272,2.8,,
Switzerland,269,3.3,,
Tajikistan,1543,18.8,,
Thailand,24237,36.2,,
The former Yugoslav republic of Macedonia,198,9.4,,
Timor-Leste,188,16.6,,
Togo,2123,31.1,,
Tonga,8,7.6,,
Trinidad and Tobago,189,14.1,,
Tunisia,2679,24.4,,
Turkey,6687,8.9,,
Turkmenistan,914,17.4,,
Uganda,10280,27.4,,
United Arab Emirates,1021,10.9,,
United Kingdom of Great Britain and Northern Ireland,1827,2.9,,
United Republic of Tanzania,16211,32.9,,
United States of America,34064,10.6,,
Uruguay,567,16.6,,
Uzbekistan,3240,11.2,,
Vanuatu,42,16.6,,
Viet Nam,22149,24.5,,
Yemen,5248,21.5,,
Zambia,3586,24.7,,
Zimbabwe,3985,28.2,,
,,,,http://apps.who.int/gho/data/node.main.A997
