Country,Number,Amount,MapCountry
Afghanistan,4734,15.5,Afghanistan
Albania,478,15.1,Albania
Algeria,9337,23.8,Algeria
Andorra,6,7.6,Andorra
Angola,5769,26.9,Angola
Antigua and Barbuda,6,6.7,Antigua and Barbuda
Argentina,5619,13.6,Argentina
Armenia,546,18.3,Armenia
Australia,1252,5.4,Australia
Austria,455,5.4,Austria
Azerbaijan,943,10,Azerbaijan
Bahamas,52,13.8,Bahamas
Bahrain,107,8,Bahrain
Bangladesh,21316,13.6,Bangladesh
Barbados,19,6.7,Barbados
Belarus,1282,13.7,Belarus
Belgium,746,6.7,Belgium
Belize,81,24.4,Belize
Benin,2855,27.7,Benin
Bhutan,114,15.1,Bhutan
Bolivia (Plurinational State of),2476,23.2,Bolivia
Bosnia and Herzegovina,676,17.7,Bosnia and Herz.
Botswana,477,23.6,Botswana
Brazil,46935,23.4,Brazil
Bulgaria,601,8.3,Bulgaria
Burkina Faso,5072,30,Burkina Faso
Cote d'Ivoire,4924,24.2,Cote d'Ivoire
Cabo Verde,130,26.1,Cabo Verde
Cambodia,2635,17.4,Cambodia
Cameroon,6136,27.6,Cameroon
Canada,2114,6,Canada
Central African Republic,1495,32.4,Central African Rep.
Chad,3089,24.1,Chad
Chile,2179,12.4,Chile
China,261367,18.8,China
Colombia,8107,16.8,Colombia
Congo,1174,26.4,Congo
Cook Islands,5,24.2,Cook Islands
Costa Rica,676,13.9,Costa Rica
Croatia,395,9.2,Croatia
Cuba,840,7.5,Cuba
Cyprus,59,5.2,Cyprus
Czech Republic,654,6.1,Czech Republic
Democratic Republic of the Congo,22419,33.2,Democratic Republic of the Congo
Denmark,196,3.5,Denmark
Djibouti,216,24.7,Djibouti
Dominica,11,15.3,Dominica
Dominican Republic,3052,29.3,Dominican Republic
Ecuador,3164,20.1,Ecuador
Egypt,10466,12.8,Egypt
El Salvador,1339,21.1,El Salvador
Eritrea,1527,24.1,Eritrea
Estonia,90,7,Estonia
Ethiopia,23837,25.3,Ethiopia
Fiji,51,5.8,Fiji
Finland,258,4.8,Finland
France,3268,5.1,France
Gabon,383,22.9,Gabon
Gambia,544,29.4,Gambia
Georgia,514,11.8,Georgia
Germany,3540,4.3,Germany
Ghana,6789,26.2,Ghana
Greece,1013,9.1,Greece
Guatemala,2939,19,Guatemala
Guinea,3211,27.3,Guinea
Guinea-Bissau,468,27.5,Guinea-Bissau
Guyana,138,17.3,Guyana
Honduras,1408,17.4,Honduras
Hungary,765,7.7,Hungary
Iceland,15,4.6,Iceland
India,207551,16.6,India
Indonesia,38279,15.3,Indonesia
Iran (Islamic Republic of),24896,32.1,Iran
Iraq,6826,20.2,Iraq
Ireland,188,4.1,Ireland
Israel,277,3.6,Israel
Italy,3721,6.1,Italy
Jamaica,320,11.5,Jamaica
Japan,5971,4.7,Japan
Jordan,1913,26.3,Jordan
Kazakhstan,3983,24.2,Kazakhstan
Kenya,12891,29.1,Kenya
Kiribati,3,2.9,Kiribati
Kuwait,629,18.7,Kuwait
Kyrgyzstan,1220,22,Kyrgyzstan
Lao People's Democratic Republic,971,14.3,Lao PDR
Latvia,205,10,Latvia
Lebanon,1088,22.6,Lebanon
Lesotho,584,28.2,Lesotho
Liberia,1448,33.7,Liberia
Libya,4554,73.4,Libya
Lithuania,320,10.6,Lithuania
Luxembourg,46,8.7,Luxembourg
Madagascar,6506,28.4,Madagascar
Malawi,5732,35,Malawi
Malaysia,7129,24,Malaysia
Maldives,12,3.5,Maldives
Mali,3902,25.6,Mali
Malta,22,5.1,Malta
Marshall Islands,3,5.7,Marshall Islands
Mauritania,952,24.5,Mauritania
Mauritius,152,12.2,Mauritius
Mexico,15062,12.3,Mexico
Micronesia (Federated States of),2,1.9,Micronesia (Federated States of)
Monaco,0,0,Monaco
Mongolia,597,21,Mongolia
Montenegro,74,11.9,Montenegro
Morocco,6870,20.8,Morocco
Mozambique,8173,31.6,Mozambique
Myanmar,10809,20.3,Myanmar
Namibia,551,23.9,Namibia
Nepal,4713,17,Nepal
Netherlands,574,3.4,Netherlands
New Zealand,272,6,New Zealand
Nicaragua,931,15.3,Nicaragua
Niger,4706,26.4,Niger
Nigeria,35641,20.5,Nigeria
Norway,192,3.8,Norway
Oman,924,25.4,Oman
Pakistan,25781,14.2,Pakistan
Palau,1,4.8,Palau
Panama,386,10,Panama
Papua New Guinea,1232,16.8,Papua New Guinea
Paraguay,1408,20.7,Paraguay
Peru,4234,13.9,Peru
Philippines,10379,10.5,Philippines
Poland,3931,10.3,Poland
Portugal,828,7.8,Portugal
Qatar,330,15.2,Qatar
Republic of Korea,5931,12,Republic of Korea
Republic of Moldova,437,12.5,Republic of Moldova
Romania,1881,8.7,Romania
Russian Federation,27025,18.9,Russia
Rwanda,3782,32.1,Rwanda
Saint Lucia,33,18.1,Saint Lucia
Saint Vincent and the Grenadines,9,8.2,Saint Vincent and the Grenadines
Samoa,30,15.8,Samoa
San Marino,1,3.2,San Marino
Sao Tome and Principe,60,31.1,Sao Tome and Principe
Saudi Arabia,7898,27.4,Saudi Arabia
Senegal,3844,27.2,Senegal
Serbia,735,7.7,Serbia
Seychelles,8,8.6,Seychelles
Sierra Leone,1661,27.3,Sierra Leone
Singapore,197,3.6,Singapore
Slovakia,360,6.6,Slovakia
Slovenia,132,6.4,Slovenia
Solomon Islands,108,19.2,Solomon Islands
Somalia,2664,25.4,Somalia
South Africa,13273,25.1,South Africa
Spain,1730,3.7,Spain
Sri Lanka,3691,17.4,Sri Lanka
Sudan,9221,24.3,Sudan
Suriname,103,19.1,Suriname
Swaziland,303,24.2,Swaziland
Sweden,272,2.8,Sweden
Switzerland,269,3.3,Switzerland
Tajikistan,1543,18.8,Tajikistan
Thailand,24237,36.2,Thailand
The former Yugoslav republic of Macedonia,198,9.4,The former Yugoslav republic of Macedonia
Timor-Leste,188,16.6,Timor-Leste
Togo,2123,31.1,Togo
Tonga,8,7.6,Tonga
Trinidad and Tobago,189,14.1,Trinidad and Tobago
Tunisia,2679,24.4,Tunisia
Turkey,6687,8.9,Turkey
Turkmenistan,914,17.4,Turkmenistan
Uganda,10280,27.4,Uganda
United Arab Emirates,1021,10.9,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,1827,2.9,United Kingdom
United Republic of Tanzania,16211,32.9,Tanzania
United States of America,34064,10.6,United States
Uruguay,567,16.6,Uruguay
Uzbekistan,3240,11.2,Uzbekistan
Vanuatu,42,16.6,Vanuatu
Viet Nam,22149,24.5,Vietnam
Yemen,5248,21.5,Yemen
Zambia,3586,24.7,Zambia
Zimbabwe,3985,28.2,Zimbabwe
Dem. Rep. Congo,,22.53,Dem. Rep. Congo
