"ï»_COUNTRY""",Country,VARIABLE,Variable,YEAR,Year,Value,Flag Codes,Flags
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2000,2000,75991,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2001,2001,66243,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2002,2002,65748,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2003,2003,67031,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2004,2004,77008,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2005,2005,87273,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2006,2006,96128,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2007,2007,106994,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2008,2008,104212,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2009,2009,111121,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2010,2010,116804,,
TUR,Turkey,T-ACCI-TOT,Number of road injury accidents,2011,2011,131845,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2000,2000,6886,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2001,2001,6709,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2002,2002,6769,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2003,2003,6997,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2004,2004,7612,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2005,2005,8224,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2006,2006,8222,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2007,2007,8010,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2008,2008,8045,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2009,2009,7068,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2010,2010,6609,,
BGR,Bulgaria,T-ACCI-TOT,Number of road injury accidents,2011,2011,6639,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2000,2000,12654,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2001,2001,13372,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2002,2002,14062,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2003,2003,13979,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2004,2004,15643,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2005,2005,15584,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2006,2006,15549,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2007,2007,16138,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2008,2008,15007,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2009,2009,14877,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2010,2010,13727,,
MLT,Malta,T-ACCI-TOT,Number of road injury accidents,2011,2011,14624,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2000,2000,7884,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2001,2001,8181,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2002,2002,7866,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2003,2003,8551,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2004,2004,8443,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2005,2005,7903,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2006,2006,7988,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2007,2007,8500,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2008,2008,8343,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2009,2009,6465,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2010,2010,6570,,
SVK,Slovak Republic,T-ACCI-TOT,Number of road injury accidents,2011,2011,5775,,
GEO,Georgia,T-ACCI-TOT,Number of road injury accidents,2000,2000,1708,,
