Year,Man Drivers killed,Men Speeding related,Percentage,Woman Drivers killed,woman Speeding related,Woman Percentage,Total Drivers killed,Total Speeding related,Total Percentage,,,,,,,,,,
1982,"15,129","5,682",38,"4,534","1,068",24,"19,664","6,750",34,,,,,,,,,,
1983,"14,620","5,250",36,"4,716","1,060",22,"19,338","6,310",33,,,,,,,,,,
1984,"14,934","5,384",36,"5,366","1,197",22,"20,300","6,581",32,,,,,,,,,,
1985,"14,768","5,515",37,"5,288","1,256",24,"20,058","6,771",34,,Male,,,Female,,,Total*,,
1986,"15,935","6,110",38,"5,564","1,302",23,"21,503","7,413",34,,Man Drivers killed,Men Speeding related,,Drivers killed,Speeding related,,Drivers killed,Speeding related,
1987,"16,133","5,977",37,"6,022","1,414",23,"22,157","7,392",33,,,,,,,,,,
1988,"16,744","6,294",38,"6,140","1,399",23,"22,884","7,693",34,,,,,,,,,,
1989,"16,284","5,905",36,"6,269","1,453",23,"22,554","7,358",33,,,,,,,,,,
1990,"15,901","5,573",35,"6,049","1,275",21,"21,953","6,850",31,,,,,,,,,,
1991,"14,824","5,206",35,"5,727","1,284",22,"20,551","6,490",32,,,,,,,,,,
1992,"14,021","4,782",34,"5,550","1,205",22,"19,573","5,988",31,,,,,,,,,,
1993,"14,298","4,732",33,"5,737","1,197",21,"20,036","5,930",30,,,,,,,,,,
1994,"14,612","4,688",32,"6,034","1,276",21,"20,647","5,965",29,,,,,,,,,,
1995,"15,164","5,040",33,"6,293","1,353",22,"21,457","6,393",30,,,,,,,,,,
1996,"15,066","4,942",33,"6,563","1,439",22,"21,631","6,383",30,,,,,,,,,,
1997,"15,023","4,852",32,"6,683","1,449",22,"21,711","6,303",29,,,,,,,,,,
1998,"14,975","4,802",32,"6,651","1,361",20,"21,627","6,163",28,,,,,,,,,,
1999,"15,238","4,779",31,"6,658","1,353",20,"21,899","6,134",28,,,,,,,,,,
2000,"15,323","4,659",30,"6,495","1,398",22,"21,819","6,057",28,,,,,,,,,,
2001,"15,396","4,792",31,"6,465","1,309",20,"21,862","6,102",28,,,,,,,,,,
2002,"15,907","5,348",34,"6,629","1,461",22,"22,537","6,809",30,,,,,,,,,,
2003,"15,551","5,041",32,"6,647","1,451",22,"22,200","6,492",29,,,,,,,,,,
2004,"15,390","4,948",32,"6,562","1,399",21,"21,952","6,347",29,,,,,,,,,,
2005,"15,564","5,149",33,"6,386","1,392",22,"21,953","6,542",30,,,,,,,,,,
2006,"15,199","5,141",34,"6,390","1,448",23,"21,592","6,590",31,,,,,,,,,,
2007,"14,648","4,939",34,"5,892","1,291",22,"20,542","6,231",30,,,,,,,,,,
2008,"13,022","4,368",34,"5,239","1,211",23,"18,266","5,579",31,,,,,,,,,,
2009,"11,928","3,964",33,"4,905","1,099",22,"16,834","5,063",30,,,,,,,,,,
2010,"11,103","3,704",33,"4,923","1,172",24,"16,029","4,878",30,,,,,,,,,,
2011,"10,880","3,609",33,"4,677","1,013",22,"15,561","4,624",30,,,,,,,,,,
2012,"11,234","3,681",33,"4,681","1,056",23,"15,915","4,737",30,,,,,,,,,,
2013,"10,957","3,433",31,"4,617","1,020",22,"15,577","4,455",29,,,,,,,,,,
2014,"10,971","3,324",30,"4,504",915,20,"15,479","4,240",27,,,,,,,,,,
