"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",73.2,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",67.5,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",66,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",67.1,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",54.1,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",50.1,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",49.6,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",48.3,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",45.6,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",43.6,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",38.5,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",39.6,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",38.8,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",33.9,,
"NLD","Netherlands","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",33.8,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",117.1,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",112.5,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",110.2,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",103.7,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",97.1,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",91.5,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",87.9,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",86.4,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",79,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",70.2,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",62.6,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",60.9,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",56.1,,
"EU27","European Union (27)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",51.4,"P","Provisional value"
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",148,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",145.7,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",141.2,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",157.9,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",137,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",134.4,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",138.3,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",139.5,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",149.7,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",123.7,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",96.4,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",97.6,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",92.1,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",86.5,,
"HRV","Croatia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",72.7,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",90.6,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",97.1,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",81.9,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",85.5,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",104.1,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",102.3,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",92.6,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",129.3,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",102.8,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",129.1,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",121.2,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",110.9,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",115.2,,
"ALB","Albania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",204.7,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",109.1,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",106.3,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",95.6,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",83.8,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",91.9,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",95.2,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",85.4,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",76.8,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",62.1,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",52.5,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",46.5,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",40.6,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",35.3,,
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",40.9,"P","Provisional value"
"IRL","Ireland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",42.1,"P","Provisional value"
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",111.3,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",111.2,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",110.4,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",103.6,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",112.7,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",123.9,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",122.1,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",134.1,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",149.2,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",137.3,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",117.4,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",100.2,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",101.8,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",93.1,,
"ROU","Romania","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",91.3,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",132.6,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",133,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",123.9,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",97.3,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",89.2,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",84.2,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",74,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",72.2,,
